Player,Team,WikiPageViews,u500W,o51W,o1W,DailyAverage,Endorsements,U5e,o510e,o10e,Salary,CurrentInstagramFollowers,Insta4,Insta510,Insta1020,Insta20o,BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PIE,TeamPIE,Contribution,Award,Age,YNBA,
Joel Embiid,PHI,"955,123",0,1,0,3898,"28,500,000",0,0,1,6000000,"6,100,000",0,1,0,0,2021-22,PHI,68,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,2.1,9.6,11.7,4.2,3.1,1.1,1.5,2.7,55.5,46,2,5.4,21.2,51.7,0.410058027,0,28,7,
Devin Booker,PHX,"1,517,828",0,0,1,6195,"7,000,000",0,1,0,28500000,"5,400,000",0,1,0,0,2021-22,PHX,68,34.5,26.8,9.7,20.9,46.6,2.7,7,38.3,4.6,5.3,86.8,0.7,4.4,5,4.8,2.4,1.1,0.4,2.6,42.2,5,0,6.9,13.7,54.8,0.25,1,25,8,
Anthony Davis,LAL,"654,910",0,1,0,2673,"31,800,000",0,0,1,10000000,"7,100,000",0,1,0,0,2021-22,LAL,40,35.1,23.2,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,2.7,7.2,9.9,3.1,2.1,1.2,2.3,2.4,47.9,19,0,-2.3,15.9,48.2,0.329875519,0,28,11,
Russell Westbrook,LAL,"1,161,856",0,0,1,4742,"30,000,000",0,0,1,39800000,"20,900,000",0,0,0,1,2021-22,LAL,78,34.3,18.5,7,15.8,44.4,1,3.4,29.8,3.4,5.1,66.7,1.4,6,7.4,7.1,3.8,1,0.3,3,37.8,28,10,-2.7,11.3,48.2,0.234439834,0,33,15,
Donovan Mitchell,UTA,"389,973",1,0,0,1592,"7,000,000",0,1,0,32500000,"3,600,000",1,0,0,0,2021-22,UTA,67,33.8,25.9,9.2,20.5,44.8,3.5,9.8,35.5,4,4.7,85.3,0.8,3.4,4.2,5.3,3,1.5,0.2,2.4,40.9,3,0,4.1,13.5,52.8,0.255681818,0,25,6,
D'Angelo Russle,MIN,653,1,0,0,3,"6,000,000",0,1,0,27000000,"3,600,000",1,0,0,0,2021-22,MIN,65,31.9,18.1,6.2,15,41.1,2.7,8,34,3,3.7,82.5,0.4,2.9,3.3,7.1,2.5,1,0.3,2,34,12,0,3.2,11.4,50.4,0.226190476,0,26,8,
luka Doncic,DAL ,"1,699,205",0,0,1,6936,"8,500,000",0,1,0,37100000,"7,400,000",0,1,0,0,2021-22,DAL,65,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,0.9,8.3,9.1,8.7,4.5,1.2,0.6,2.2,53.1,44,10,2.2,21,51.1,0.410958904,1,22,5,
DeMar DeRozan,CHI,"827,048",0,1,0,3376,"4,000,000",1,0,0,20800000,"3,200,000",1,0,0,0,2021-22,CHI,76,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,2.4,0.9,0.3,2.3,42.7,6,0,1,14.8,49.6,0.298387097,0,32,14,
Trae Young,ATL,"641,774",0,1,0,2619,"3,000,000",1,0,0,8326471,"4,800,000",0,1,0,0,2021-22,ATL,76,34.9,28.4,9.4,20.3,46,3.1,8,38.2,6.6,7.3,90.4,0.7,3.1,3.7,9.7,4,0.9,0.1,1.7,46.5,42,0,2.1,16.1,50.9,0.316306483,0,23,5,
Draymond Green,GSW,"1,148,097",0,0,1,4686,"4,000,000",1,0,0,24026712,"4,000,000",0,1,0,0,2021-22,GSW,46,28.9,7.5,2.9,5.6,52.5,0.3,1.2,29.6,1.3,2,65.9,1,6.3,7.3,7,3,1.3,1.1,3,30.9,4,1,4.2,11.9,53.6,0.222014925,0,31,11,
Lonzo Ball,CHI,"792,433",0,1,0,"3,234","7,000,000",0,1,0,"18,604,651","15,200,000",0,0,1,0,2021-22,CHI,35,34.6,13,4.6,10.9,42.3,3.1,7.4,42.3,0.6,0.8,75,1,4.4,5.4,5.1,2.3,1.8,0.9,2.4,32.9,3,1,2.3,9.7,49.6,0.195564516,0,24,5,
Carmelo Anthony,LAL,"998,858",0,1,0,"4,077","6,000,000",0,1,0,"2,641,691","7,910,012",0,1,0,0,2021-22,LAL,69,26,13.3,4.6,10.5,44.1,2.2,5.8,37.5,1.9,2.3,83,0.9,3.3,4.2,1,0.9,0.7,0.8,2.4,23.3,1,0,-1.3,8.9,48.2,0.184647303,0,37,19,
Zach LaVine,CHI,"573,143",0,1,0,"2,339","8,500,000",0,1,0,"19,500,000","2,500,000",1,0,0,0,2021-22,CHI,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,0.3,4.3,4.6,4.5,2.6,0.6,0.3,1.8,37,0,0,-0.4,12.9,49.6,0.260080645,0,26,9,
Zion ,NOP,"990,721",0,1,0,"4,044","20,000,000",0,0,1,"10,733,400","5,200,000",0,1,0,0,2021-22,NOP,61,33.2,27,10.4,17,61.1,0.2,0.6,29.4,6,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,43.2,14,0,1.5,16.1,50,0.322,0,21,3,
Kyrie Irving,BKN,"1,810,510",0,0,1,"8,119","17,000,000",0,0,1,"36,934,550","18,000,000",0,0,1,0,2021-23,BKN,29,37.6,27.4,10,21.2,46.9,3.4,8.2,41.8,4.1,4.4,91.5,0.6,3.8,4.4,5.8,2.5,1.4,0.6,2.8,44.8,2,0,4.2,13.5,51.2,51.2,0,29,12,
